tabla_ine,variable,anyo,I,cnae_55,cnae_56,share_55,share_56
76815,Excedente bruto de explotación,2021,7746200.0,3103616.0,4642583.0,0.400663,0.599337
76815,Excedente bruto de explotación,2022,12022411.0,6634659.0,5387752.0,0.551858,0.448142
76815,Excedente bruto de explotación,2023,14534511.0,8426494.0,6108017.0,0.579758,0.420242
76815,Excedente bruto de explotación,2024,18029459.0,10231208.0,7798252.0,0.567472,0.432528
76815,Gastos de personal,2018,24898424.0,8444622.0,16453802.0,0.339163,0.660837
76815,Gastos de personal,2019,26890378.0,9140828.0,17749550.0,0.339929,0.660071
76815,Gastos de personal,2020,16573358.0,4775810.0,11797548.0,0.288162,0.711838
76815,Gastos de personal,2021,19965909.0,5756398.0,14209510.0,0.288311,0.711689
76815,Gastos de personal,2022,28829897.0,9444965.0,19384933.0,0.32761,0.67239
76815,Gastos de personal,2023,32449715.0,10912185.0,21537530.0,0.33628,0.66372
76815,Gastos de personal,2024,36487431.0,12128446.0,24358985.0,0.332401,0.667599
76815,Gastos en servicios exteriores,2018,17434399.0,8482157.0,8952242.0,0.486518,0.513482
76815,Gastos en servicios exteriores,2019,18974073.0,9370547.0,9603526.0,0.493861,0.506139
76815,Gastos en servicios exteriores,2020,12321990.0,5062114.0,7259876.0,0.41082,0.58918
76815,Gastos en servicios exteriores,2021,14587448.0,6433268.0,8154180.0,0.441014,0.558986
76815,Gastos en servicios exteriores,2022,21742271.0,10599236.0,11143034.0,0.487494,0.512506
76815,Gastos en servicios exteriores,2023,23861647.0,11967990.0,11893657.0,0.501558,0.498442
76815,Gastos en servicios exteriores,2024,26489540.0,13467581.0,13021959.0,0.508411,0.491589
76815,Impuestos ligados a la producción y a los productos distintos del IVA y de los IIEE,2018,730345.0,491939.0,238406.0,0.673571,0.326429
76815,Impuestos ligados a la producción y a los productos distintos del IVA y de los IIEE,2019,583208.0,423281.0,159927.0,0.725781,0.274219
76815,Impuestos ligados a la producción y a los productos distintos del IVA y de los IIEE,2020,575266.0,417808.0,157458.0,0.726287,0.273713
76815,Impuestos ligados a la producción y a los productos distintos del IVA y de los IIEE,2021,679007.0,489932.0,189075.0,0.721542,0.278458
76815,Impuestos ligados a la producción y a los productos distintos del IVA y de los IIEE,2022,817678.0,579516.0,238163.0,0.708734,0.291267
76815,Impuestos ligados a la producción y a los productos distintos del IVA y de los IIEE,2023,852712.0,605506.0,247206.0,0.710094,0.289906
76815,Impuestos ligados a la producción y a los productos distintos del IVA y de los IIEE,2024,973413.0,659575.0,313839.0,0.67759,0.322411
76815,Otros ingresos de gestión,2018,1465382.0,783440.0,681942.0,0.534632,0.465368
76815,Otros ingresos de gestión,2019,1697639.0,949423.0,748216.0,0.559261,0.440739
76815,Otros ingresos de gestión,2020,1260983.0,586496.0,674487.0,0.46511,0.53489
